用途,材料名,厚み(mm),3x6単価,4x8単価
下地材,ラワンランバー,12.0,1900.0,3250.0
下地材,ラワンランバー,15.0,2250.0,3600.0
下地材,ラワンランバー,18.0,3000.0,4000.0
下地材,ラワンランバー,21.0,3500.0,5100.0
下地材,ラワンランバー,24.0,4000.0,6000.0
下地材,ラワンランバー,30.0,4500.0,7400.0
下地材,ラワンベニヤ,2.5,850.0,1950.0
下地材,ラワンベニヤ,3.0,1380.0,
下地材,ラワンベニヤ,4.0,1200.0,2400.0
下地材,ラワンベニヤ,5.5,1500.0,2600.0
下地材,ラワンベニヤ,9.0,1950.0,3700.0
下地材,ラワンベニヤ,12.0,2500.0,4700.0
下地材,ラワンベニヤ,15.0,3350.0,6400.0
下地材,ラワンベニヤ,18.0,4000.0,7700.0
下地材,ラワンベニヤ,21.0,4700.0,9000.0
下地材,ラワンベニヤ,24.0,5300.0,10500.0
下地材,ラワンベニヤ,30.0,,
仕上げ材・下地材,シナランバー,12.0,1900.0,3250.0
仕上げ材・下地材,シナランバー,15.0,2250.0,3600.0
仕上げ材・下地材,シナランバー,18.0,2500.0,4000.0
仕上げ材・下地材,シナランバー,21.0,3000.0,5100.0
仕上げ材・下地材,シナランバー,24.0,3500.0,6000.0
仕上げ材・下地材,シナランバー,30.0,4500.0,7400.0
仕上げ材・下地材,シナベニヤ,3.0,1950.0,3600.0
仕上げ材・下地材,シナベニヤ,4.0,2000.0,3700.0
仕上げ材・下地材,シナベニヤ,5.5,2500.0,5300.0
仕上げ材・下地材,シナベニヤ,9.0,4300.0,9200.0
仕上げ材・下地材,シナベニヤ,12.0,5300.0,11000.0
仕上げ材・下地材,シナベニヤ,15.0,6800.0,14000.0
仕上げ材・下地材,シナベニヤ,18.0,8300.0,17000.0
仕上げ材・下地材,シナベニヤ,21.0,10000.0,20000.0
仕上げ材・下地材,シナベニヤ,24.0,12000.0,22800.0
仕上げ材,アイカメラミンH,1.0,4500.0,8000.0
仕上げ材,アイカメラミンAI・AN,1.0,4500.0,8000.0
仕上げ材,アイカメラミンJI・JC,1.0,4860.0,8640.0
仕上げ材,アイカメラミンLJ,1.0,4680.0,8320.0
仕上げ材,アイカメラミンK,1.0,4680.0,8320.0
仕上げ材,アイカメラミンTJ・TJY,1.0,4860.0,8640.0
仕上げ材,アイカメラミンTK,1.0,4860.0,8640.0
仕上げ材,アイカメラミンTS・TSY,1.0,,11680.0
仕上げ材,アイカメラミンXE,1.0,,17600.0
仕上げ材,アイカメラミンSAI・SAL,1.0,4950.0,8800.0
